resource_category,organization_name,phone_number,address,latitude,longitude
Shelter,Bristol Lodge Men's Shelter -  Shelters for Individuals - Waltham,(781) 893-0108,"27 Lexington Street P.O. Box 1095, Waltham, MA, 02451",42.377499,-71.2354602
Shelter,Marlboro Shelter  - Shelters for Individuals,(508) 481-7847,"57 Mechanic Street, Marlborough, MA, 01752",42.3475447,-71.554897
Shelter,Roland's House - Shelters for Individuals,(508) 620-2690,"57 Mechanic Street, Marlborough, MA, 01752",42.3475447,-71.554897
Shelter,Turning Point Shelter - Shelters for Individuals,(508) 875-6429,"3 Merchant Road, Framingham, MA, 01702",42.2620283,-71.3987427
Shelter,Shadows Shelter - Shelters for Individuals,(508) 231-8710,"25 Central Street, Ashland, MA, 01721",42.2576386,-71.4611607
Shelter,Woods Mullen Shelter - Shelters for Individuals,(617) 534-7100,"784 Rear Massachusetts Avenue, Boston, MA, 02118",42.3348258,-71.0750232
Shelter,College Avenue Shelter - Shelters for Individuals,(617) 623-2546,"14 Chapel Street, Somerville, MA, 02144",42.3988715,-71.1211573
Shelter,First Church Shelter - Shelters for Individuals,(617) 661-1873,"11 Garden Street, Cambridge, MA, 02139",42.3766445,-71.1226562
Shelter,Harvard Square Homeless Shelter - Shelters for Individuals,(888) 656-3414,"66 Winthrop Street, Cambridge, MA, 02138",42.3717532,-71.1200405
Shelter,Emergency Service Center - Cambridge- Shelters for Individuals,(617) 661-0600,"240 Albany Street, Cambridge, MA, 02139",42.358284,-71.1008221
Shelter,Middlesex Shelter - Shelters for Individuals,(978) 458-9888,"189 Middlesex Street, Lowell, MA, 01852",42.641003,-71.3120089
Shelter,Pine Street Inn Night Drop-In Center - Shelters for Individuals,(617) 248-1998,"31 Bowker Street, Boston, MA, 02114",42.3625142,-71.0607735
Shelter,Kingston House,(617) 482-8819,"39 Kingston Street, Boston, MA, 02112",42.353551,-71.059457
Shelter,Father Bill's Place - Shelters for Individuals,(617) 770-3314,"38 Broad Street, Quincy, MA, 02169",42.2561089,-70.9946623
Shelter,Lynn Emergency Shelter - Shelters for Individuals,(781) 581-6600,"100 Willow Street, Lynn, MA, 01901",42.4649682,-70.9475179
Shelter,Daybreak Shelter - Shelters for Individuals,(978) 975-4547,"19 Winter Street, Lawrence, MA, 01841",42.7051721,-71.1703527
Shelter,AgeSpan Elder Services Shelter - Shelters for Individuals,(800) 892-0890,"360 Merrimack Street, Lawrence, MA, 01843",42.7045377,-71.1429949
Shelter,Greater Worcester Housing Connection - Shelters for Individuals,(508) 757-0103,"701 Main Street, Worcester, MA, 01610",42.2582178,-71.8069569
Shelter,Lahey Health Behavioral Services Danvers Treatment Center - Shelters for Individuals,(800) 323-2224,"111 Middleton Road, Danvers, MA, 01923",42.5868892,-70.9766138
Shelter,Salem Mission Shelter -  Shelters for Individuals,(978) 744-0500,"56 Margin Street, Salem, MA, 01970",42.5183953,-70.8966154
Shelter,MainSpring House Shelter - Shelters for Individuals,(508) 587-5441,"54 North Main Street, Brockton, MA, 02301",42.0866898,-71.0201533
Shelter,Emmaus House Shelter - Shelters for Individuals,(978) 241-3540,"127 How Street, Haverhill, MA, 01831",42.7770487,-71.0808996
Shelter,Action Emergency Shelter -  Shelters for Individuals,(978) 282-1000,"180 Main Street, Gloucester, MA, 01930",42.6130986,-70.6616031
Shelter,Market Ministries - Shelters for Individuals,(508) 997-3202,"60 Eighth Street, New Bedford, MA, 02740",41.6342071,-70.9293951
Shelter,Silver Street Inn Transitional Housing Program -  Shelters for Individuals,(413) 774-7234,"219 Silver Street, Greenfield, MA, 01301",42.6068159,-72.5967057
Shelter,Loreto House Shelter - Shelters for Individuals,(413) 533-5909,"51 Hamilton Street, Holyoke, MA, 01040",42.1984346,-72.606808
Shelter,Worthington Street Shelter - Males - Shelters for Individuals,(413) 732-3069,"769 Worthington Street, Springfield, MA, 01105",42.1105135,-72.5844039
Shelter,Worthington Street Shelter - Females - Shelters for Individuals,(413) 734-9946,"563 Worthington Street, Springfield, MA, 01105",42.1078641,-72.5876671
Shelter,Cummings Memorial  -  Shelter for Men,(413) 732-0516,"148 Taylor Street, Springfield, MA, 01105",42.1075158,-72.5901217
Shelter,Springfield Rescue Mission Shelter - Shelters for Men,(413) 732-0808,"19 Bliss Street, Springfield, MA, 01105",42.0997795,-72.5867106
Shelter,Noah Shelter - Shelters for Individuals,(508) 778-5255,"77 Winter Street, Hyannis, MA, 02601",41.6539917,-70.2870261
Syringe Service Program,ACCESS Drug User Health Program,(617) 661-3040,"359 Green Street, Cambridge, MA, 02139",42.3657252,-71.1056282
Syringe Service Program,Access: Drug User Health Program,(617) 437-6200,"75 Amory Street, Boston, MA, 02119",42.3206791,-71.0997772
Syringe Service Program,"Victory Programs, Inc. - Mobile Prevention Team",(617) 541-0222,"29 Stanhope Street, Boston, MA, 02176",42.3484755,-71.0730305
Syringe Service Program,Life Connection Center,(978) 997-0588,"192 Appleton Street, Lowell, MA, 01852",42.6398553,-71.3118037
Syringe Service Program,Boston Health Care for the Homeless a Satellite Site of BMC - Boston (START),(857) 654-1628,"780 Albany Street, Boston, MA, 02118",42.3336166,-71.0728071
Syringe Service Program,Boston Needle Exchange Program - AHOPE - Overdose Prevention / Narcan (Naloxone) Training,(617) 534-3967,"774 Albany Street, Boston, MA, 02118",42.3336478,-71.0727596
Syringe Service Program,Health Care for the Homeless - St. Francis,(617) 542-4704,"39 Boylston St,  Boston, MA, 02111",42.3525109,-71.063473
Syringe Service Program,Victory Connector,(617) 541-0222,"965 Massachusetts Ave, Boston, MA, 02118",42.3291295,-71.0690676
Syringe Service Program,Multicultural AIDS Coalition (Women Connecting Affecting Change),(617) 541-1050,"157A Washington Street, Boston, MA, 02121",42.3040479,-71.079387
Syringe Service Program,MRC - Montachusett Recovery Center,(978) 227-5036,"106 Carter St Ste 40, Leominster, MA, 01453",42.5203301,-71.7477036
Syringe Service Program,Lynn Community Health Center Bridge Clinic,(781) 581-3900,"269 Union Street, Lynn, MA, 01901",42.4650471,-70.9438909
Syringe Service Program,Greater Lawrence Family Health Center Mobile Health Unit,(978) 686-0090,"100 Water Street, Lawrence, MA, 01841",42.7003379,-71.1698307
Syringe Service Program,Manet Community Health Center- Snug Harbor,(617) 483-5799,"9 Bicknell Street, Quincy, MA, 02169",42.2522173,-70.9658639
Syringe Service Program,AIDS Project Worcester - Opioid Overdose Prevention / Narcan (Naloxone) Training,(508) 755-3773,"165 Southbridge Street, Worcester, MA, 01604",42.2573415,-71.804922
Syringe Service Program,MainSpring House Shelter - Shelters for Individuals,(508) 587-5441,"54 North Main Street, Brockton, MA, 02301",42.0866898,-71.0201533
Syringe Service Program,Brockton Area Multi-Services,(508) 583-3405,"74 Pleasant Street, Brockton, MA, 02301",42.0853113,-71.0219651
Syringe Service Program,Brockton Area Multi-Services - Opioid Overdose Prevention / Narcan (Naloxone) Training,(508) 583-3405,"74 Pleasant Street, Brockton, MA, 02301",42.0853113,-71.0219651
Syringe Service Program,COPE Center (BAMSI),(508) 583-3405,"74 Pleasant St, Brockton, MA, 02301",42.0853113,-71.0219651
Syringe Service Program,Brockton Neighborhood Health Center,(508) 559-6699,"63 Main Street, Brockton, MA, 02130",42.0845166,-71.0201542
Syringe Service Program,Community Care In-Reach,(508) 233-0573,"63 Main Street, Brockton, MA, 02301",42.0845166,-71.0201542
Syringe Service Program,One Stop Harm Reduction - North Shore Health Project,(978) 283-0101,"75 Winter Street, Haverhill, MA, 01830",42.7772722,-71.078988
Syringe Service Program,Manet Community Health Center- Taunton,(508) 822-5500,"1 Washington Street, Taunton, MA, 02780",41.9006623,-71.098632
Syringe Service Program,Seven Hills Behavioral Health- Taunton,(508) 996-0546,"9 Winthrop Street, Taunton, MA, 02780",41.9012285,-71.0943505
Syringe Service Program,ONE STOP Harm Reduction Program,(978) 283-0101,"33 Commercial Street,  Gloucester, MA, 01930",42.6100269,-70.6661759
Syringe Service Program,Plymouth C.O.P.E. Center,(508) 591-3870,"385 Court Street,  Plymouth, MA, 02360",41.9791287,-70.6913376
Syringe Service Program,SSTAR Ambulatory Services - Substance Abuse Prevention Programs,(508) 679-5222,"386 Stanley Street, Fall River, MA, 02720",41.7151478,-71.1363484
Syringe Service Program,SSTAR Opiate Triage Center,(508) 955-4673,"386 Stanley Street, Fall River, MA, 02720",41.7151478,-71.1363484
